raw_name,canonical_name
FLAGSHIP ADVISORY LLC,FLAGSHIP ADVISORY LLC
FLAGSHIP GROUP,FLAGSHIP ADVISORY LLC
FLEMING FINANCIAL SERVICES LP,FLEMING FUND SERVICES INC.
FLEMING FINANCIAL SERVICES P.C.,FLEMING FUND SERVICES INC.
FLEMING FUND SERVICE,FLEMING FUND SERVICES INC.
FLEMING FUND SERVICES,FLEMING FUND SERVICES INC.
FLEMING FUND SERVICES INC.,FLEMING FUND SERVICES INC.
FLOW,FLOW INC.
FLOW INC.,FLOW INC.
FLOWINC,FLOW INC.
FORMIDIUM CORP,FORMIDIUM CORP
FORMIDIUM CORP.,FORMIDIUM CORP
FORMIDIUM FUND SERVICES,FORMIDIUM CORP
FRAZIER  DEETER,FRAZIER  DEETER
FREEMARK FINANCIAL LLP,FREEMARK FINANCIAL LLP
FTS ADMIN,FTS ADMIN LLC
FTS ADMIN LLC,FTS ADMIN LLC
FTS TECH INC PRODUCT: FLOWINC.AP,FTS TECH INC.
FTS TECH INC PRODUCT: FLOWINC.APP,FTS TECH INC.
FTS TECH INC.,FTS TECH INC.
FULVIO  ASSOCIATES,FULVIO AND ASSOCIATES
FULVIO AND ASSOCIATES,FULVIO AND ASSOCIATES
FUND ADMINISTRATION GROUP LLC,FUND ADMINISTRATION GROUP LLC
FUND ASSOCIATES,FUND ASSOCIATES
FUNDERSCLUB MANAGEMENT LLC,FUNDERSCLUB MANAGEMENT LLC
FUNDRX CAPITAL MANAGEMENT LLC,FUNDRX CAPITAL MANAGEMENT LLC
G. M.-P. MURPHY  COMPANY INCORPORATED,G. M.-P. MURPHY  COMPANY INCORPORATED
GAINGELS INC,GAINGELS INC
GBX ASSOCIATES LLC,GBX ASSOCIATES LLC
GCP CAPITAL PARTNERS,GCP CAPITAL PARTNERS
GEMINI HEDGE FUND SERVICES LLC,GEMINI HEDGE FUND SERVICES LLC
GEN 2,GEN II FUND SERVICES LLC
GEN II,GEN II FUND SERVICES LLC
GEN II FUND SERVICES LLC,GEN II FUND SERVICES LLC
GGA CPA LLP,GGA CPA LLP
GLTJ PIONEER CAPITAL LLC,GLTJ PIONEER CAPITAL LLC
GP FUND SOLUTIONS,GP FUND SOLUTIONS
GREAT LAKES FUND SOLUTIONS INC.,GREAT LAKES FUND SOLUTIONS INC.
GREAT LAKES FUNDING SOLUTIONS INC.,GREAT LAKES FUND SOLUTIONS INC.
GRYPHON FUND GROUP,GRYPHON FUND GROUP LLC
GRYPHON FUND GROUP LLC,GRYPHON FUND GROUP LLC
GRYPHON GROUP,GRYPHON FUND GROUP LLC
GRYPHON INVESTORS INC,GRYPHON INVESTORS INC
GSQRD CONSULTING LLC,GSQRD CONSULTING LLC
GTCR-CELTIC ACQUISITION LLC D/B/A ULTIMUS LEVERPOINT,GTCR-CELTIC ACQUISITION LLC D/B/A ULTIMUS LEVERPOINT
HAHN  OLDHAM PC,HAHN  OLDHAM PC
HALPERN  ASSOCIATES LLC,HALPERN  ASSOCIATES LLC
HANOVER PARK,HANOVER PARK TECHNOLOGIES INC.
HANOVER PARK NYC,HANOVER PARK TECHNOLOGIES INC.
HANOVER PARK TECHNOLOGIES INC.,HANOVER PARK TECHNOLOGIES INC.
HANOVER TECHNOLOGIES INC.,HANOVER PARK TECHNOLOGIES INC.
HARBERT MANAGEMENT CORPORATION,HARBERT MANAGEMENT CORPORATION
HC GLOBAL,HC GLOBAL FUND SERVICES LLC
HC GLOBAL FUND ADMINISTRATION SERVICES,HC GLOBAL FUND SERVICES LLC
HC GLOBAL FUND SERVICE LLC,HC GLOBAL FUND SERVICES LLC
HC GLOBAL FUND SERVICES LLC,HC GLOBAL FUND SERVICES LLC
HC GLOBAL SERVICES LLC,HC GLOBAL FUND SERVICES LLC
HCGLOBAL,HC GLOBAL FUND SERVICES LLC
HDM TAX GROUP,HDM TAX GROUP
HEDGESERV,HEDGESERV
HEYCANOPY,HEYCANOPY
HHM CPAS LLC,HHM CPAS LLC
HIGH DIVIDE MANAGEMENT,HIGH DIVIDE MANAGEMENT LLC
HIGH DIVIDE MANAGEMENT LLC,HIGH DIVIDE MANAGEMENT LLC
HIGHLANDS CPA LLC,HIGHLANDS CPA LLC
HIIVE INVESTMENTS INC,HIIVE INVESTMENTS INC
HURLEY ONEILL  CO.,HURLEY ONEILL  CO.
IGNITION VENTURES MANAGEMENT II LLC,IGNITION VENTURES MANAGEMENT II LLC
IMA FINANCIAL GROUP,IMA FINANCIAL GROUP
INFLAMMO,INFLAMMO
INSIGNIA ACCOUNTING CORP.,INSIGNIA ACCOUNTING CORP.
INTEGRATED INVESTMENT SOLUTIONS LLC,INTEGRATED INVESTMENT SOLUTIONS LLC
INTERNATIONAL FUND MANAGEMENT,INTERNATIONAL FUND MANAGEMENT
INTERNATIONAL FUND SERVICES N.A. L.L.C.,INTERNATIONAL FUND MANAGEMENT
INTERTRUST CORPORATE AND FUND SERVICES LLC,INTERTRUST CORPORATE AND FUND SERVICES LLC
INTERTRUST CORPORATE AND FUND SERVICES LLC A CSC COMPANY,INTERTRUST CORPORATE AND FUND SERVICES LLC
INTRALINKS HOLDINGS INC.,INTRALINKS HOLDINGS INC.
IPS FUND SERVICES LLC,IPS FUND SERVICES LLC
IQ EQ FUND SERVICES,IQ EQ US FUND SERVICES LLC
IQ EQ TECHNOLOGY SERVICES,IQ EQ US FUND SERVICES LLC
IQ EQ US FUND SERVICES LLC,IQ EQ US FUND SERVICES LLC
IQ-EQ,IQ EQ US FUND SERVICES LLC
IQ-EQ  FORMERLY SOUTH WATCH LLC,IQ EQ US FUND SERVICES LLC
IQ-EQ FUND ADMINISTRATION,IQ EQ US FUND SERVICES LLC
IQ-EQ FUND ADMINISTRATION SERVICES,IQ EQ US FUND SERVICES LLC
IQ-EQ FUND SERVICES LLC,IQ EQ US FUND SERVICES LLC
IQ-EQ U.S.,IQ EQ US FUND SERVICES LLC
IQ-EQ US,IQ EQ US FUND SERVICES LLC
