Unnamed: 0,name,lawyer_id,firm_id,profile_url
0,Roy W. Tucker's Lawyer Profile,36356,9936,https://www.bestlawyers.com/lawyers/roy-w-tucker/36356
5,Henry Bregstein's Lawyer Profile,78851,3884,https://www.bestlawyers.com/lawyers/henry-bregstein/78851
10,Michael Todd Wade's Lawyer Profile,81414,2397,https://www.bestlawyers.com/lawyers/michael-todd-todd-wade/81414
15,Stephanie M. Monaco's Lawyer Profile,66342,16978,https://www.bestlawyers.com/lawyers/stephanie-m-monaco/66342
20,Phyllis A. Schwartz's Lawyer Profile,79463,110170,https://www.bestlawyers.com/lawyers/phyllis-a-schwartz/79463
25,J. Troy Terakedis's Lawyer Profile,81291,4464,https://www.bestlawyers.com/lawyers/j-troy-troy-terakedis/81291
30,Sarah K. Cherry's Lawyer Profile,137892,13804,https://www.bestlawyers.com/lawyers/sarah-k-cherry/137892
35,Roger D. Singer's Lawyer Profile,236328,14163,https://www.bestlawyers.com/lawyers/roger-d-singer/236328
40,Jeffrey B. Kaplan's Lawyer Profile,373039,3969,https://www.bestlawyers.com/lawyers/jeffrey-b-kaplan-p-c/373039
45,Timothy P. Selby's Lawyer Profile,99662,29201,https://www.bestlawyers.com/lawyers/timothy-p-tim-selby/99662
50,Matthew L. Giles's Lawyer Profile,215233,16996,https://www.bestlawyers.com/lawyers/matthew-l-giles/215233
55,Scott S. Jones's Lawyer Profile,99511,13804,https://www.bestlawyers.com/lawyers/scott-s-jones-p-c/99511
60,Wendy E. Cohen's Lawyer Profile,202704,3884,https://www.bestlawyers.com/lawyers/wendy-e-cohen/202704
65,Sarah Davidoff's Lawyer Profile,139414,17395,https://www.bestlawyers.com/lawyers/sarah-davidoff/139414
70,Laurel FitzPatrick's Lawyer Profile,83825,17395,https://www.bestlawyers.com/lawyers/laurel-fitzpatrick/83825
75,Bruce I. Ettelson's Lawyer Profile,53235,3969,https://www.bestlawyers.com/lawyers/bruce-i-ettelson/53235
80,Monica K. Arora's Lawyer Profile,122795,13804,https://www.bestlawyers.com/lawyers/monica-k-arora/122795
85,John M. Caccia's Lawyer Profile,123957,3851,https://www.bestlawyers.com/lawyers/john-m-caccia/123957
90,Debra K. Lussier's Lawyer Profile,204345,17395,https://www.bestlawyers.com/lawyers/debra-k-lussier/204345
95,Stewart M. Landefeld's Lawyer Profile,19767,9936,https://www.bestlawyers.com/lawyers/stewart-m-landefeld/19767
100,Eunice Choi's Lawyer Profile,391309,13448,https://www.bestlawyers.com/lawyers/eunice-choi/391309
105,Christopher M. Wells's Lawyer Profile,37110,13804,https://www.bestlawyers.com/lawyers/christopher-m-chris-wells/37110
110,Robert S. Fore's Lawyer Profile,45744,16996,https://www.bestlawyers.com/lawyers/robert-s-rob-fore/45744
115,Teddy D. Klinghoffer's Lawyer Profile,46452,9499,https://www.bestlawyers.com/lawyers/teddy-d-klinghoffer/46452
120,Robin A. Painter's Lawyer Profile,45737,13804,https://www.bestlawyers.com/lawyers/robin-a-painter/45737
125,Stephanie R. Breslow's Lawyer Profile,45154,110170,https://www.bestlawyers.com/lawyers/stephanie-r-breslow/45154
